ph,quality
3.11,5.0
3.23,6.0
3.69,5.0
3.28,5.0
3.57,7.0
2.93,6.0
3.25,6.0
3.66,4.0
3.07,4.0
3.38,7.0
3.59,6.0
3.39,6.0
3.06,6.0
3.55,6.0
3.11,6.0
3.29,4.0
3.11,7.0
3.1,5.0
3.19,7.0
3.05,4.0
3.9,4.0
2.92,5.0
3.58,5.0
3.5,6.0
3.28,7.0
3.54,7.0
3.23,5.0
3.59,5.0
3.21,5.0
3.12,6.0
3.47,7.0
2.98,8.0
3.6,4.0
3.33,4.0
3.21,7.0
3.29,7.0
3.48,6.0
3.27,7.0
3.08,5.0
3.4,7.0
3.46,5.0
3.3,5.0
3.26,6.0
3.59,4.0
3.28,4.0
3.74,5.0
3.17,5.0
3.58,6.0
3.07,6.0
3.36,5.0
3.62,4.0
3.1,6.0
3.9,6.0
3.45,4.0
3.22,7.0
3.4,6.0
3.67,6.0
3.27,6.0
3.52,6.0
3.68,5.0
3.56,8.0
3.44,6.0
3.14,6.0
3.56,6.0
2.94,5.0
3.71,7.0
3.4,4.0
3.37,7.0
3.09,6.0
3.5,8.0
3.62,6.0
3.41,6.0
3.34,7.0
3.41,7.0
3.63,3.0
3.34,4.0
3.45,5.0
3.2,8.0
3.31,3.0
3.35,7.0
3.04,7.0
3.53,6.0
2.93,5.0
3.13,5.0
2.89,6.0
3.2,6.0
3.61,5.0
3.17,4.0
3.36,7.0
3.58,7.0
3.22,5.0
3.38,3.0
3.22,6.0
3.35,6.0
2.9,6.0
3.37,6.0
3.5,5.0
3.52,4.0
3.23,8.0
3.66,5.0
3.43,4.0
3.54,4.0
3.46,7.0
3.55,5.0
3.41,4.0
3.52,7.0
3.24,6.0
3.61,6.0
3.16,3.0
3.45,6.0
3.04,5.0
3.02,7.0
2.98,6.0
3.18,5.0
3.35,5.0
3.13,7.0
3.75,4.0
3.16,7.0
3.46,8.0
3.52,5.0
3.05,6.0
3.19,5.0
3.6,5.0
3.04,6.0
2.95,7.0
3.51,5.0
3.18,7.0
3.07,7.0
3.41,5.0
3.45,7.0
3.16,4.0
3.16,5.0
3.25,5.0
3.24,8.0
3.09,7.0
2.87,6.0
2.88,5.0
3.14,7.0
3.2,4.0
3.31,5.0
3.01,5.0
3.21,8.0
3.33,7.0
2.98,7.0
3.62,5.0
3.02,5.0
3.0,6.0
3.49,5.0
3.78,7.0
3.33,5.0
3.35,4.0
3.36,4.0
3.42,5.0
3.48,3.0
3.58,4.0
3.48,5.0
3.15,5.0
3.18,6.0
3.16,6.0
3.42,7.0
2.89,5.0
3.54,5.0
3.25,3.0
3.72,8.0
3.26,5.0
3.34,5.0
3.5,4.0
3.36,6.0
3.34,6.0
2.86,6.0
3.85,6.0
3.33,6.0
3.53,4.0
3.57,6.0
3.17,6.0
3.27,5.0
3.5,3.0
3.15,6.0
3.44,7.0
3.31,7.0
3.02,6.0
2.98,5.0
3.12,5.0
2.74,4.0
3.67,5.0
3.09,5.0
3.31,6.0
3.03,5.0
3.43,5.0
3.2,7.0
3.06,5.0
3.42,6.0
3.54,6.0
3.23,4.0
3.7,6.0
3.3,7.0
3.71,6.0
3.44,5.0
3.29,5.0
3.51,4.0
3.49,6.0
3.39,5.0
3.69,6.0
3.78,6.0
3.12,7.0
3.26,4.0
3.44,4.0
3.38,5.0
3.0,5.0
3.15,7.0
3.03,6.0
3.21,6.0
3.3,6.0
3.4,5.0
3.63,5.0
3.53,5.0
3.25,7.0
3.22,8.0
3.4,3.0
2.92,7.0
3.32,7.0
3.39,4.0
3.08,6.0
3.29,6.0
3.24,5.0
3.72,5.0
3.56,5.0
3.32,5.0
3.51,6.0
3.05,7.0
2.94,6.0
3.13,6.0
3.23,7.0
3.46,6.0
3.19,6.0
3.38,6.0
3.47,5.0
3.39,7.0
3.56,7.0
3.47,6.0
2.88,8.0
3.14,5.0
2.99,5.0
3.01,6.0
4.01,6.0
3.01,7.0
3.43,6.0
3.24,7.0
3.35,8.0
3.37,4.0
3.28,6.0
3.2,5.0
3.68,7.0
3.3,4.0
3.32,6.0
3.05,5.0
3.37,5.0
3.26,7.0
3.15,8.0
3.55,3.0
3.38,4.0
3.32,3.0
3.66,6.0
3.68,6.0
3.57,5.0
3.51,7.0
3.17,7.0
3.6,6.0
3.32,4.0
3.31,4.0
